Designator,Mid X,Mid Y,Layer,Rotation
C1,39.25,94.75,Top,90.0
C2,41.25,94.75,Top,90.0
C3,37.25,90.50,Top,0.0
C4,31.25,86.50,Top,180.0
C5,35.42,27.92,Top,135.0
C6,25.17,20.49,Top,315.0
C7,34.71,18.37,Top,45.0
C8, 5.00, 8.00,Top,0.0
C9,16.50, 8.00,Top,0.0
C10,28.00, 8.00,Top,0.0
C11,39.50, 8.00,Top,0.0
C12,51.00, 8.00,Top,0.0
C13,62.50, 8.00,Top,0.0
C14,74.00, 8.00,Top,0.0
C15,85.50, 8.00,Top,0.0
D1,20.25,95.75,Top,90.0
D2,37.25,86.25,Top,0.0
D3, 5.00,39.50,Top,270.0
D4,14.50,39.50,Top,90.0
D5,20.00,39.50,Top,90.0
D6,25.50,39.50,Top,90.0
D7,31.00,39.50,Top,90.0
D8,36.50,39.50,Top,90.0
D9,42.00,39.50,Top,90.0
D10,47.50,39.50,Top,90.0
D11,53.00,39.50,Top,90.0
D12,57.00,19.50,Top,270.0
F1,37.25,94.75,Top,270.0
J1,31.25,97.00,Top,180.0
J3,57.50,64.00,Top,90.0
J4,57.50,55.00,Top,90.0
JP1, 7.00,28.00,Top,180.0
JP2, 7.00,25.50,Top,180.0
JP3, 7.00,23.00,Top,180.0
JP4, 7.00,20.50,Top,180.0
JP5, 7.00,18.00,Top,180.0
JP6, 7.00,15.50,Top,180.0
Q1,12.75,35.00,Top,0.0
Q2,18.25,35.00,Top,0.0
Q3,23.75,35.00,Top,0.0
Q4,29.25,35.00,Top,0.0
Q5,34.75,35.00,Top,0.0
Q6,40.25,35.00,Top,0.0
Q7,45.75,35.00,Top,0.0
Q8,51.25,35.00,Top,0.0
Q9,70.25,21.00,Top,0.0
R1,22.00,95.75,Top,90.0
R2,23.50,95.75,Top,270.0
R3,25.00,95.75,Top,270.0
R4,23.50,88.75,Top,0.0
R5,37.25,88.00,Top,0.0
R6,23.50,87.25,Top,0.0
R7,14.50,42.25,Top,90.0
R8,20.00,42.25,Top,90.0
R9,25.50,42.25,Top,90.0
R10,31.00,42.25,Top,90.0
R11,36.50,42.25,Top,90.0
R12,42.00,42.25,Top,90.0
R13,47.50,42.25,Top,90.0
R14,53.00,42.25,Top,90.0
R15,11.25,39.50,Top,270.0
R16,12.75,39.50,Top,90.0
R17,16.75,39.50,Top,270.0
R18,18.25,39.50,Top,90.0
R19,22.25,39.50,Top,270.0
R20,23.75,39.50,Top,90.0
R21,27.75,39.50,Top,270.0
R22,29.25,39.50,Top,90.0
R23,33.25,39.50,Top,270.0
R24,34.75,39.50,Top,90.0
R25,38.75,39.50,Top,270.0
R26,40.25,39.50,Top,90.0
R27,44.25,39.50,Top,270.0
R28,45.75,39.50,Top,90.0
R29,49.75,39.50,Top,270.0
R30,51.25,39.50,Top,90.0
R31,53.00,21.00,Top,0.0
R32,53.00,19.50,Top,0.0
R33,53.00,18.00,Top,0.0
R34,70.25,18.00,Top,180.0
R35,70.25,16.00,Top,180.0
S1, 4.75, 4.25,Top,180.0
S2,16.25, 4.25,Top,180.0
S3,27.75, 4.25,Top,180.0
S4,39.25, 4.25,Top,180.0
S5,50.75, 4.25,Top,180.0
S6,62.25, 4.25,Top,180.0
S7,73.75, 4.25,Top,180.0
S8,85.25, 4.25,Top,180.0
U1,31.25,89.00,Top,0.0
U2,31.00,23.50,Top,315.0
U3,65.00,19.50,Top,0.0
